PERSON_ID,AGE,SENIORITY,ROLE,EMAIL_INTENSITY,DM_INTENSITY
80,34,SENIOR,ENGINEERING,100,1315
81,49,SENIOR,ENGINEERING,124,1430
82,64,MANAGEMENT,ENGINEERING,110,1405
83,53,SENIOR,ENGINEERING,115,1243
84,38,MID,ENGINEERING,92,1411
85,54,SENIOR,ENGINEERING,98,1521
86,31,SENIOR,ENGINEERING,127,1025
87,41,SENIOR,ENGINEERING,106,987
88,49,SENIOR,ENGINEERING,87,1224
89,61,SENIOR,ENGINEERING,109,1045
90,33,MID,SUPPORT,147,2202
91,31,MID,SALES,158,637
92,58,SENIOR,ENGINEERING,115,1294
93,40,MID,MARKETING,133,594
94,25,JUNIOR,MARKETING,147,598
95,62,MANAGEMENT,MARKETING,162,579
96,28,MID,ENGINEERING,105,1115
97,28,JUNIOR,ENGINEERING,98,1256
98,32,MANAGEMENT,ENGINEERING,102,1131
99,33,SENIOR,SUPPORT,119,2089
100,27,JUNIOR,ENGINEERING,102,1208
101,30,SENIOR,ENGINEERING,119,1175
102,33,SENIOR,ENGINEERING,90,1575
103,28,JUNIOR,ENGINEERING,101,1318
104,32,SENIOR,ENGINEERING,100,1140
105,47,MANAGEMENT,ENGINEERING,97,1358
106,34,SENIOR,MANAGEMENT,927,278
107,46,SENIOR,ENGINEERING,99,1092
108,53,SENIOR,ENGINEERING,97,1220
109,35,SENIOR,MANAGEMENT,1136,271
110,41,SENIOR,SUPPORT,146,2634
111,27,JUNIOR,MARKETING,161,554
112,64,MANAGEMENT,SUPPORT,123,1865
113,61,MANAGEMENT,MARKETING,178,607
114,26,MID,SALES,144,609
115,47,SENIOR,ENGINEERING,114,1590
116,56,SENIOR,MARKETING,142,582
117,25,JUNIOR,ENGINEERING,114,1296
118,51,MANAGEMENT,ENGINEERING,105,1013
119,62,MANAGEMENT,ENGINEERING,79,2561
120,49,SENIOR,MARKETING,143,589
121,44,SENIOR,ENGINEERING,99,1192
122,50,SENIOR,ENGINEERING,112,1172
123,62,MANAGEMENT,SUPPORT,164,2239
124,33,SENIOR,ENGINEERING,97,1126
125,35,MID,SALES,144,610
126,51,SENIOR,ENGINEERING,78,1430
127,47,SENIOR,ENGINEERING,84,1248
128,53,SENIOR,MARKETING,147,665
129,26,JUNIOR,SUPPORT,148,1777
130,35,SENIOR,ENGINEERING,92,1308
131,27,JUNIOR,ENGINEERING,88,1393
132,33,SENIOR,ENGINEERING,96,1572
133,31,SENIOR,ENGINEERING,97,1257
134,30,MID,ENGINEERING,87,1365
135,34,MANAGEMENT,MARKETING,157,578
136,36,SENIOR,MANAGEMENT,1120,289
137,53,SENIOR,ENGINEERING,92,1402
138,26,JUNIOR,ENGINEERING,129,1043
139,27,JUNIOR,ENGINEERING,103,1299
140,50,SENIOR,ENGINEERING,84,1189
141,28,MID,ENGINEERING,92,1122
142,54,MANAGEMENT,MARKETING,164,588
143,42,MID,ENGINEERING,111,1462
144,58,SENIOR,MARKETING,165,552
145,29,JUNIOR,SALES,159,586
146,26,JUNIOR,SALES,172,630
147,26,JUNIOR,ENGINEERING,108,1399
148,32,MID,ENGINEERING,98,1038
149,56,MANAGEMENT,MANAGEMENT,845,319
150,25,MID,MARKETING,159,510
151,62,MANAGEMENT,ENGINEERING,90,1259
152,35,SENIOR,ENGINEERING,96,1512
153,60,SENIOR,ENGINEERING,106,1239
154,29,JUNIOR,SUPPORT,176,2610
155,31,MID,SUPPORT,158,2048
156,64,MANAGEMENT,MARKETING,140,595
157,55,SENIOR,SALES,152,569
158,59,SENIOR,MARKETING,159,620
159,27,JUNIOR,SALES,162,610
160,38,SENIOR,ENGINEERING,112,1551
161,26,JUNIOR,SUPPORT,162,2141
162,45,MANAGEMENT,ENGINEERING,125,1140
163,40,SENIOR,ENGINEERING,94,1309
164,40,SENIOR,MARKETING,138,586
165,37,MANAGEMENT,ENGINEERING,99,1366
166,47,MANAGEMENT,MARKETING,156,620
167,56,SENIOR,ENGINEERING,93,1491
168,32,SENIOR,ENGINEERING,116,1418
169,30,SENIOR,ENGINEERING,94,1201
170,38,SENIOR,SALES,157,619
171,25,JUNIOR,SALES,157,607
172,38,SENIOR,ENGINEERING,102,1035
173,54,SENIOR,ENGINEERING,98,1008
174,64,SENIOR,SUPPORT,162,2467
175,32,SENIOR,SUPPORT,150,1705
176,26,JUNIOR,SUPPORT,136,1852
177,60,SENIOR,MARKETING,139,600
178,34,MID,ENGINEERING,73,1027
179,37,SENIOR,ENGINEERING,94,1046
180,31,MANAGEMENT,ENGINEERING,102,1153
181,27,JUNIOR,SUPPORT,141,1607
182,59,SENIOR,ENGINEERING,107,1551
183,33,SENIOR,ENGINEERING,108,1518
184,26,JUNIOR,ENGINEERING,105,1417
185,33,SENIOR,ENGINEERING,88,1224
186,27,MID,ENGINEERING,78,1588
187,38,SENIOR,ENGINEERING,100,1483
188,32,SENIOR,ENGINEERING,111,1322
189,32,SENIOR,MARKETING,171,599
190,59,SENIOR,ENGINEERING,107,1082
191,28,JUNIOR,ENGINEERING,91,1435
192,30,MID,SALES,151,589
193,33,SENIOR,ENGINEERING,89,1562
194,39,SENIOR,ENGINEERING,91,1137
195,31,MID,MARKETING,158,615
196,25,MID,SALES,155,575
197,47,SENIOR,ENGINEERING,81,1462
198,46,SENIOR,ENGINEERING,96,1568
199,35,MID,ENGINEERING,107,1396
200,25,MANAGEMENT,MANAGEMENT,921,293
201,31,SENIOR,ENGINEERING,95,1564
202,27,JUNIOR,MARKETING,162,572
203,30,MID,ENGINEERING,96,1333
204,38,SENIOR,ENGINEERING,80,1384
205,37,SENIOR,ENGINEERING,81,1297
206,59,SENIOR,SALES,150,631
207,33,SENIOR,SUPPORT,139,2298
208,31,MID,ENGINEERING,108,1595
209,42,MID,ENGINEERING,118,1505
210,33,SENIOR,MANAGEMENT,834,257
211,41,SENIOR,ENGINEERING,98,1498
212,34,SENIOR,ENGINEERING,122,1616
213,58,SENIOR,SUPPORT,145,2153
214,35,MID,ENGINEERING,94,1104
215,56,SENIOR,ENGINEERING,58,1397
216,32,MID,ENGINEERING,100,1460
217,30,SENIOR,MARKETING,133,635
218,50,SENIOR,ENGINEERING,90,1129
219,53,SENIOR,ENGINEERING,124,1538
220,56,SENIOR,ENGINEERING,98,1113
221,42,MID,ENGINEERING,77,1360
222,28,JUNIOR,MARKETING,148,607
223,52,MANAGEMENT,ENGINEERING,84,1530
224,63,SENIOR,ENGINEERING,100,1045
225,29,JUNIOR,MARKETING,152,587
226,31,SENIOR,ENGINEERING,92,1462
227,30,SENIOR,ENGINEERING,85,1510
228,35,MID,ENGINEERING,103,1339
229,27,MID,MARKETING,147,598
230,26,JUNIOR,ENGINEERING,104,1226
231,48,SENIOR,MARKETING,156,544
232,37,SENIOR,ENGINEERING,103,1230
233,52,SENIOR,ENGINEERING,93,1185
234,54,SENIOR,MARKETING,156,620
235,46,MANAGEMENT,ENGINEERING,100,1516
236,49,MANAGEMENT,ENGINEERING,127,1259
237,34,MANAGEMENT,ENGINEERING,95,1478
238,28,JUNIOR,ENGINEERING,94,1089
239,54,SENIOR,SALES,133,591
240,48,SENIOR,MARKETING,138,612
241,26,JUNIOR,ENGINEERING,76,1478
242,27,JUNIOR,MARKETING,138,606
243,33,MANAGEMENT,ENGINEERING,104,1061
244,29,JUNIOR,SALES,139,607
245,28,JUNIOR,ENGINEERING,88,1344
246,60,MANAGEMENT,ENGINEERING,91,1490
247,60,MANAGEMENT,ENGINEERING,99,1529
248,40,SENIOR,ENGINEERING,109,1614
249,26,JUNIOR,MARKETING,153,631
250,34,SENIOR,SALES,178,596
251,40,SENIOR,ENGINEERING,76,1361
252,51,MANAGEMENT,ENGINEERING,100,1495
253,32,MANAGEMENT,SUPPORT,133,2459
254,59,SENIOR,SALES,149,610
255,47,MANAGEMENT,ENGINEERING,83,1150
256,51,SENIOR,ENGINEERING,121,1242
257,31,SENIOR,ENGINEERING,85,1529
258,34,MID,MARKETING,150,552
259,45,MANAGEMENT,ENGINEERING,106,1341
260,34,SENIOR,ENGINEERING,96,1499
261,29,MID,SUPPORT,157,2168
262,53,SENIOR,ENGINEERING,99,977
263,62,SENIOR,ENGINEERING,95,1435
264,28,JUNIOR,ENGINEERING,98,1508
265,29,JUNIOR,ENGINEERING,114,1479
266,57,SENIOR,ENGINEERING,116,1377
267,33,MID,SUPPORT,137,2278
268,31,SENIOR,ENGINEERING,99,1124
269,29,JUNIOR,SALES,141,585
270,32,SENIOR,SALES,146,601
271,53,MANAGEMENT,ENGINEERING,98,1385
272,44,SENIOR,ENGINEERING,92,1612
273,42,SENIOR,ENGINEERING,108,1597
274,40,MID,ENGINEERING,81,1510
275,28,MID,MARKETING,144,545
276,38,SENIOR,ENGINEERING,113,1300
277,27,JUNIOR,SUPPORT,138,1700
278,25,JUNIOR,SALES,156,592
279,32,SENIOR,ENGINEERING,102,1604
280,28,JUNIOR,ENGINEERING,78,1318
281,61,MANAGEMENT,ENGINEERING,110,1126
282,52,SENIOR,ENGINEERING,86,1425
283,30,SENIOR,SUPPORT,155,1859
284,26,JUNIOR,MARKETING,145,638
285,45,MANAGEMENT,ENGINEERING,98,952
286,32,MID,ENGINEERING,89,1255
287,25,JUNIOR,ENGINEERING,113,1274
288,35,MID,MARKETING,152,579
289,37,SENIOR,ENGINEERING,107,1441
290,50,SENIOR,ENGINEERING,97,1143
291,65,SENIOR,ENGINEERING,91,1096
292,26,JUNIOR,ENGINEERING,107,1144
293,47,SENIOR,SUPPORT,166,2388
294,48,SENIOR,MARKETING,162,576
295,32,MANAGEMENT,ENGINEERING,98,1345
296,33,SENIOR,SUPPORT,167,2306
297,27,JUNIOR,ENGINEERING,100,1271
298,31,SENIOR,ENGINEERING,89,1161
299,40,MANAGEMENT,ENGINEERING,114,1317
300,30,SENIOR,ENGINEERING,108,1438
301,58,MANAGEMENT,MARKETING,136,566
302,32,SENIOR,SALES,150,595
303,26,JUNIOR,MARKETING,170,600
304,63,SENIOR,ENGINEERING,104,1148
305,38,MANAGEMENT,SALES,150,632
306,25,MID,ENGINEERING,108,1088
307,36,SENIOR,ENGINEERING,73,1327
308,36,MANAGEMENT,ENGINEERING,107,1575
309,27,JUNIOR,ENGINEERING,124,1587
310,25,JUNIOR,ENGINEERING,119,1299
311,29,JUNIOR,SALES,161,597
312,31,SENIOR,ENGINEERING,90,1465
313,35,SENIOR,ENGINEERING,92,1402
314,48,SENIOR,ENGINEERING,93,1013
315,46,SENIOR,ENGINEERING,106,1561
316,32,SENIOR,ENGINEERING,110,1014
317,42,SENIOR,ENGINEERING,94,1221
318,34,SENIOR,SUPPORT,145,1657
319,57,SENIOR,SUPPORT,156,2580
320,45,MANAGEMENT,ENGINEERING,94,1614
321,31,MID,ENGINEERING,108,1584
322,27,JUNIOR,ENGINEERING,79,1456
323,29,JUNIOR,SUPPORT,149,1760
324,60,SENIOR,SALES,146,642
325,41,MID,SALES,151,596
326,59,SENIOR,ENGINEERING,81,1583
327,33,SENIOR,SUPPORT,138,1788
328,33,SENIOR,ENGINEERING,96,1087
329,46,MANAGEMENT,MARKETING,151,641
330,43,MID,ENGINEERING,89,1490
331,36,SENIOR,ENGINEERING,110,1067
332,49,SENIOR,ENGINEERING,105,1415
333,28,JUNIOR,ENGINEERING,91,1397
334,38,SENIOR,ENGINEERING,96,1342
335,46,MANAGEMENT,SALES,156,600
336,52,MANAGEMENT,ENGINEERING,78,1487
337,25,JUNIOR,SUPPORT,132,1936
338,53,SENIOR,ENGINEERING,115,1491
339,55,SENIOR,ENGINEERING,118,1150
340,27,JUNIOR,ENGINEERING,75,1308
341,26,MID,ENGINEERING,90,1201
342,32,MANAGEMENT,SUPPORT,153,2344
343,34,SENIOR,SUPPORT,150,2090
344,37,SENIOR,SALES,150,607
345,25,JUNIOR,MARKETING,148,580
346,31,MANAGEMENT,ENGINEERING,93,1471
347,58,MANAGEMENT,SUPPORT,144,1757
348,32,MANAGEMENT,SALES,163,631
349,35,MID,ENGINEERING,106,1049
350,27,MANAGEMENT,MANAGEMENT,1036,296
351,30,MID,ENGINEERING,104,985
352,63,SENIOR,ENGINEERING,85,1179
353,33,MANAGEMENT,ENGINEERING,99,1030
354,26,MID,MARKETING,144,585
355,33,SENIOR,ENGINEERING,110,1507
356,26,JUNIOR,ENGINEERING,111,1570
357,49,SENIOR,MARKETING,171,574
358,44,SENIOR,SUPPORT,135,2426
359,28,JUNIOR,ENGINEERING,92,1022
360,56,MANAGEMENT,ENGINEERING,99,1414
361,54,SENIOR,ENGINEERING,100,1181
362,64,MANAGEMENT,ENGINEERING,101,1209
363,31,MID,ENGINEERING,103,1193
364,45,SENIOR,SALES,129,555
365,55,SENIOR,SUPPORT,161,1868
366,50,MANAGEMENT,ENGINEERING,91,1039
367,56,SENIOR,ENGINEERING,109,1501
368,40,MID,ENGINEERING,109,1466
369,42,SENIOR,ENGINEERING,94,1393
370,43,MID,ENGINEERING,94,1108
371,61,MANAGEMENT,MARKETING,157,601
372,57,MANAGEMENT,ENGINEERING,108,1467
373,50,MANAGEMENT,ENGINEERING,92,1111
374,34,MID,ENGINEERING,103,1252
375,41,SENIOR,SALES,155,564
376,25,JUNIOR,MARKETING,154,566
377,25,JUNIOR,MARKETING,141,630
378,51,MANAGEMENT,ENGINEERING,83,1216
379,29,MID,ENGINEERING,104,1582
380,26,JUNIOR,ENGINEERING,106,1577
381,45,SENIOR,ENGINEERING,100,1534
382,25,JUNIOR,ENGINEERING,102,1600
383,60,MANAGEMENT,ENGINEERING,106,1098
384,34,SENIOR,ENGINEERING,94,1147
385,64,SENIOR,ENGINEERING,92,1450
386,55,MANAGEMENT,MARKETING,117,649
387,27,JUNIOR,SUPPORT,195,2183
388,50,SENIOR,ENGINEERING,81,1108
389,35,MID,ENGINEERING,101,1514
390,64,SENIOR,ENGINEERING,110,1490
391,33,SENIOR,ENGINEERING,134,1198
392,35,MID,ENGINEERING,97,1582
393,26,JUNIOR,ENGINEERING,85,1287
394,45,MANAGEMENT,ENGINEERING,108,1588
395,25,JUNIOR,ENGINEERING,110,1287
396,52,SENIOR,MARKETING,145,571
397,64,SENIOR,ENGINEERING,98,1359
398,51,SENIOR,SUPPORT,153,2379
399,57,SENIOR,SALES,151,588
400,44,MID,ENGINEERING,80,1426
401,48,MANAGEMENT,MARKETING,126,609
402,49,MANAGEMENT,ENGINEERING,90,1293
403,47,SENIOR,ENGINEERING,111,1434
404,58,MANAGEMENT,SUPPORT,149,3133
405,60,SENIOR,ENGINEERING,101,1351
406,49,SENIOR,SUPPORT,159,2416
407,25,JUNIOR,ENGINEERING,104,1398
408,32,MANAGEMENT,ENGINEERING,86,1273
409,37,MID,ENGINEERING,88,1101
410,35,MID,ENGINEERING,87,1536
411,34,SENIOR,SALES,147,573
412,50,MANAGEMENT,SUPPORT,142,2148
413,33,SENIOR,SUPPORT,147,1772
414,65,MANAGEMENT,SALES,140,555
415,29,JUNIOR,ENGINEERING,103,1281
416,59,SENIOR,MANAGEMENT,887,295
417,61,SENIOR,ENGINEERING,110,2591
418,44,SENIOR,SUPPORT,149,2320
419,48,SENIOR,ENGINEERING,98,1326
420,33,MANAGEMENT,ENGINEERING,113,1361
421,26,JUNIOR,ENGINEERING,95,1164
422,59,MANAGEMENT,ENGINEERING,119,1482
423,35,SENIOR,SUPPORT,152,2248
424,33,SENIOR,SUPPORT,144,1948
425,34,SENIOR,ENGINEERING,112,1225
426,27,JUNIOR,SALES,162,605
427,26,MID,SALES,151,604
428,29,JUNIOR,SUPPORT,162,2230
429,54,MANAGEMENT,ENGINEERING,100,1268
430,31,SENIOR,ENGINEERING,115,1230
431,28,JUNIOR,ENGINEERING,94,1521
432,52,SENIOR,ENGINEERING,119,1058
433,46,SENIOR,ENGINEERING,109,1283
434,53,SENIOR,ENGINEERING,105,1420
435,52,MANAGEMENT,ENGINEERING,103,1352
436,33,SENIOR,SUPPORT,170,2298
437,38,MID,ENGINEERING,92,1406
438,29,MID,MARKETING,148,594
439,34,MID,ENGINEERING,93,1199
440,25,JUNIOR,ENGINEERING,113,1047
441,46,SENIOR,ENGINEERING,105,1479
442,32,SENIOR,ENGINEERING,109,1507
443,33,SENIOR,ENGINEERING,105,1215
444,40,MID,ENGINEERING,116,1282
445,37,SENIOR,ENGINEERING,120,1486
446,34,SENIOR,ENGINEERING,113,1113
447,31,MID,SUPPORT,136,2326
448,28,JUNIOR,SALES,170,627
449,54,MANAGEMENT,ENGINEERING,103,1617
450,26,JUNIOR,ENGINEERING,117,1054
451,58,SENIOR,ENGINEERING,96,1327
452,27,MID,ENGINEERING,91,1326
453,31,MID,ENGINEERING,98,1500
454,54,MANAGEMENT,SALES,130,589
455,35,SENIOR,ENGINEERING,100,1008
456,35,MANAGEMENT,ENGINEERING,83,1059
457,48,SENIOR,ENGINEERING,96,997
458,35,SENIOR,ENGINEERING,79,1467
459,33,MID,ENGINEERING,109,1429
460,54,SENIOR,SALES,160,610
461,33,MANAGEMENT,ENGINEERING,122,992
462,31,SENIOR,MANAGEMENT,1118,269
463,47,SENIOR,ENGINEERING,98,1018
464,63,MANAGEMENT,ENGINEERING,95,1232
465,51,MANAGEMENT,ENGINEERING,121,1313
466,33,SENIOR,ENGINEERING,104,1356
467,34,SENIOR,ENGINEERING,88,1150
468,28,JUNIOR,SALES,151,616
469,59,SENIOR,SALES,139,622
470,25,MID,ENGINEERING,91,1156
471,45,SENIOR,SALES,146,607
472,62,SENIOR,ENGINEERING,105,1256
473,36,SENIOR,ENGINEERING,106,1575
474,46,SENIOR,ENGINEERING,97,1046
475,29,JUNIOR,MARKETING,162,569
476,53,SENIOR,MANAGEMENT,994,318
477,32,SENIOR,ENGINEERING,109,1541
478,48,MANAGEMENT,ENGINEERING,101,1539
479,25,JUNIOR,MARKETING,167,557
480,30,SENIOR,SUPPORT,150,2195
481,27,JUNIOR,ENGINEERING,79,1413
482,55,SENIOR,MARKETING,140,593
483,45,MANAGEMENT,ENGINEERING,110,1322
484,50,MANAGEMENT,MARKETING,125,601
485,33,SENIOR,ENGINEERING,119,1277
486,32,MID,ENGINEERING,93,1145
487,54,MANAGEMENT,MANAGEMENT,698,295
488,33,MID,ENGINEERING,89,1040
489,25,MID,ENGINEERING,98,1024
490,48,SENIOR,ENGINEERING,96,1075
491,45,SENIOR,ENGINEERING,106,1067
492,65,SENIOR,ENGINEERING,96,1398
493,58,SENIOR,ENGINEERING,103,1190
494,33,SENIOR,SALES,141,590
495,42,SENIOR,ENGINEERING,91,1367
496,32,MID,SUPPORT,143,2038
497,65,SENIOR,SUPPORT,141,2242
498,30,MANAGEMENT,SUPPORT,122,2197
499,29,JUNIOR,ENGINEERING,81,1590
500,31,SENIOR,ENGINEERING,89,1506
501,39,MID,SUPPORT,149,1647
502,41,SENIOR,ENGINEERING,101,1063
503,35,SENIOR,ENGINEERING,95,1168
504,45,SENIOR,ENGINEERING,72,1248
505,26,JUNIOR,ENGINEERING,88,1264
506,63,MANAGEMENT,ENGINEERING,85,1266
507,58,SENIOR,ENGINEERING,93,1117
508,49,SENIOR,ENGINEERING,93,1302
509,32,SENIOR,SUPPORT,154,1622
510,65,MANAGEMENT,ENGINEERING,106,1384
511,34,MID,ENGINEERING,105,1025
512,35,SENIOR,SUPPORT,134,1808
513,33,SENIOR,ENGINEERING,107,1160
514,47,SENIOR,SALES,160,661
515,56,MANAGEMENT,SALES,143,560
516,29,JUNIOR,ENGINEERING,112,1429
517,61,SENIOR,ENGINEERING,97,1485
518,30,SENIOR,SUPPORT,144,1707
519,47,SENIOR,ENGINEERING,108,1573
520,45,MANAGEMENT,SALES,135,617
521,30,MID,SALES,125,587
522,43,SENIOR,ENGINEERING,114,1189
523,34,SENIOR,ENGINEERING,102,1558
524,46,SENIOR,ENGINEERING,88,1188
525,35,SENIOR,ENGINEERING,122,1142
526,26,JUNIOR,ENGINEERING,89,1389
527,30,SENIOR,SALES,152,650
528,30,SENIOR,SUPPORT,123,2249
529,60,SENIOR,MANAGEMENT,745,299
530,60,MANAGEMENT,SALES,166,622
531,38,MID,MARKETING,160,621
532,50,SENIOR,ENGINEERING,115,1398
533,51,MANAGEMENT,ENGINEERING,97,1058
534,60,MANAGEMENT,ENGINEERING,79,1039
535,63,MANAGEMENT,MANAGEMENT,1043,305
536,34,SENIOR,ENGINEERING,99,1348
537,60,SENIOR,ENGINEERING,94,1067
538,52,SENIOR,ENGINEERING,114,1026
539,56,MANAGEMENT,ENGINEERING,111,1186
540,35,SENIOR,ENGINEERING,90,1181
541,58,SENIOR,ENGINEERING,115,1594
542,31,MID,SUPPORT,183,2531
543,63,MANAGEMENT,SUPPORT,136,2357
544,35,SENIOR,MARKETING,155,574
545,51,MANAGEMENT,MARKETING,152,608
546,29,JUNIOR,ENGINEERING,101,1224
547,58,MANAGEMENT,ENGINEERING,101,1473
548,40,SENIOR,MARKETING,161,587
549,30,MID,ENGINEERING,104,1033
550,34,SENIOR,ENGINEERING,88,1420
551,29,JUNIOR,ENGINEERING,124,1200
552,57,SENIOR,ENGINEERING,105,997
553,64,SENIOR,ENGINEERING,82,1536
554,56,SENIOR,ENGINEERING,120,1058
555,29,JUNIOR,SALES,149,605
556,30,SENIOR,ENGINEERING,114,1042
557,30,SENIOR,SUPPORT,141,2484
558,46,SENIOR,ENGINEERING,93,1165
559,32,MID,SUPPORT,150,2340
560,54,MANAGEMENT,SALES,150,575
561,42,SENIOR,ENGINEERING,110,1272
562,32,MID,ENGINEERING,99,1321
563,42,MID,ENGINEERING,108,1108
564,62,MANAGEMENT,ENGINEERING,117,1602
565,60,MANAGEMENT,MARKETING,162,599
566,61,SENIOR,MARKETING,142,575
567,63,SENIOR,ENGINEERING,94,1073
568,39,MANAGEMENT,ENGINEERING,87,1437
569,48,SENIOR,SUPPORT,165,1655
570,30,MID,ENGINEERING,97,1288
571,46,MANAGEMENT,ENGINEERING,92,1390
572,44,SENIOR,SUPPORT,169,2097
573,27,JUNIOR,ENGINEERING,97,1344
574,25,JUNIOR,SALES,155,598
575,34,SENIOR,ENGINEERING,107,1046
576,27,MID,SUPPORT,139,2207
577,25,MID,ENGINEERING,100,1478
578,34,SENIOR,ENGINEERING,70,1493
579,31,MID,ENGINEERING,111,1288
580,33,SENIOR,MARKETING,145,603
581,46,SENIOR,ENGINEERING,114,1630
582,53,SENIOR,ENGINEERING,127,1431
583,43,SENIOR,MARKETING,149,585
584,44,SENIOR,ENGINEERING,98,1300
585,26,MANAGEMENT,MANAGEMENT,734,290
586,47,SENIOR,ENGINEERING,120,1390
587,29,JUNIOR,MARKETING,155,611
588,29,JUNIOR,ENGINEERING,105,1529
589,31,MID,SALES,147,589
590,65,SENIOR,ENGINEERING,102,1280
591,44,SENIOR,ENGINEERING,77,1344
592,28,JUNIOR,ENGINEERING,93,1228
593,34,SENIOR,ENGINEERING,110,1092
594,30,SENIOR,ENGINEERING,100,1532
595,57,SENIOR,SALES,165,581
596,63,SENIOR,ENGINEERING,109,1376
597,35,SENIOR,SALES,175,586
598,33,SENIOR,ENGINEERING,117,1357
599,34,MID,SUPPORT,161,1923
600,34,SENIOR,ENGINEERING,107,1490
601,26,JUNIOR,SALES,137,593
602,25,JUNIOR,ENGINEERING,112,1547
603,29,MID,ENGINEERING,93,1444
604,25,MID,ENGINEERING,97,1081
605,30,MID,SUPPORT,158,1804
606,50,SENIOR,SALES,138,600
607,27,JUNIOR,ENGINEERING,104,1243
608,59,SENIOR,ENGINEERING,101,1246
609,59,MANAGEMENT,ENGINEERING,102,999
610,52,SENIOR,SUPPORT,144,2392
611,32,SENIOR,MANAGEMENT,1151,322
612,52,SENIOR,ENGINEERING,93,1346
613,26,JUNIOR,MARKETING,166,630
614,62,MANAGEMENT,ENGINEERING,111,1124
615,56,SENIOR,ENGINEERING,94,1170
616,40,MID,SUPPORT,126,2433
617,30,MANAGEMENT,ENGINEERING,103,1047
618,29,JUNIOR,SALES,158,592
619,30,MID,SALES,116,638
620,35,SENIOR,ENGINEERING,107,1050
621,45,SENIOR,ENGINEERING,112,1217
622,33,MID,ENGINEERING,128,1323
623,35,SENIOR,ENGINEERING,109,1002
624,63,SENIOR,MARKETING,159,633
625,45,MANAGEMENT,ENGINEERING,126,1161
626,29,JUNIOR,ENGINEERING,92,1005
627,60,SENIOR,ENGINEERING,106,1569
628,60,SENIOR,SUPPORT,164,2245
