RESP_ID,GENDER,AGE,EDUCATION,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
RESP-ABCD-0021,Female,34,University,1,3,5,7,9,1,1,7,1,1,9,7,5,7,7,3,7,3,9,3,1,9,1,1,9
RESP-ABCD-0022,Male,21,University,7,7,3,3,9,5,9,9,9,9,5,3,9,3,5,3,3,9,9,5,7,5,9,9,9
RESP-ABCD-0023,Male,32,University,5,7,7,5,9,9,5,9,5,5,1,7,3,9,5,9,7,9,7,3,9,1,5,1,1
RESP-ABCD-0024,Male,30,University,9,3,1,1,5,1,9,5,9,5,5,1,9,1,7,7,1,7,3,9,7,3,7,7,7
RESP-ABCD-0025,Male,22,Masters or above,7,3,1,9,5,9,5,5,7,3,5,1,1,9,9,9,1,1,5,9,3,3,3,5,5
RESP-ABCD-0026,Female,29,University,9,7,7,3,3,1,7,3,7,7,3,7,5,9,9,1,7,5,3,9,7,3,1,5,7
RESP-ABCD-0027,Male,29,University,1,3,3,7,7,3,9,7,1,5,3,3,3,3,5,7,3,1,1,3,5,3,5,3,9
RESP-ABCD-0028,Female,20,University,9,7,5,3,1,7,7,1,9,9,3,5,7,1,3,5,5,7,3,7,7,3,3,9,9
RESP-ABCD-0029,Female,30,University,9,7,1,1,9,1,3,9,9,3,3,1,3,3,9,1,1,5,1,7,3,3,3,9,9
RESP-ABCD-0030,Unspecified,21,University,3,9,9,7,3,9,3,1,3,3,9,9,7,5,7,1,9,9,1,1,3,9,5,9,7
RESP-ABCD-0031,Female,45,University,3,1,9,5,1,3,1,1,3,9,7,9,3,3,9,5,9,7,5,9,1,9,1,7,9
RESP-ABCD-0032,Male,33,University,3,7,7,3,3,1,9,3,3,7,1,5,9,3,7,1,7,9,7,7,9,3,1,9,1
RESP-ABCD-0033,Male,33,Masters or above,9,5,3,1,5,5,7,5,9,9,5,1,9,3,5,7,3,3,3,1,7,5,9,5,9
RESP-ABCD-0034,Female,31,University,5,1,1,9,9,7,5,9,5,7,9,1,9,1,9,9,1,7,1,7,1,9,7,7,3
RESP-ABCD-0035,Female,20,University,9,1,3,7,1,1,3,1,9,9,1,3,1,3,7,1,3,3,3,9,9,1,5,1,7
RESP-ABCD-0036,Female,31,University,5,1,1,3,1,3,3,1,5,9,9,1,7,1,5,7,1,7,7,5,7,9,5,9,3
RESP-ABCD-0037,Male,32,University,5,9,7,3,1,5,5,1,5,1,9,7,9,7,3,3,7,7,7,9,5,9,5,9,9
RESP-ABCD-0038,Male,45,University,3,7,7,5,1,3,7,1,5,3,5,7,1,5,7,7,7,3,9,3,7,5,1,1,1
RESP-ABCD-0039,Female,30,University,7,9,9,5,1,3,7,1,7,9,7,7,7,1,3,9,9,5,7,7,3,7,7,9,5
RESP-ABCD-0040,Male,34,University,1,7,3,9,3,5,9,3,3,9,3,5,3,7,3,7,1,1,5,7,3,5,9,1,9
RESP-ABCD-0041,Male,31,University,3,9,9,9,9,3,9,9,3,5,7,9,1,1,1,5,9,9,1,3,5,7,3,7,1
RESP-ABCD-0042,Male,23,University,3,9,3,1,5,5,1,5,3,3,5,3,5,1,9,9,3,7,9,3,1,5,3,5,7
RESP-ABCD-0043,Unspecified,39,University,7,5,9,1,5,1,3,5,5,5,5,9,1,5,7,3,9,9,5,5,9,5,5,1,3
RESP-ABCD-0044,Female,37,University,1,9,5,9,5,5,9,5,1,3,5,7,1,9,3,5,5,3,3,7,7,5,7,3,3
RESP-ABCD-0045,Male,37,University,9,3,5,9,5,5,7,5,9,5,1,3,7,9,1,7,5,9,1,7,3,1,1,1,3
RESP-ABCD-0046,Female,25,University,9,5,5,7,3,7,5,3,9,9,7,5,3,1,5,9,5,3,7,5,1,7,7,9,7
RESP-ABCD-0047,Male,41,University,3,9,5,5,7,5,7,7,3,9,7,5,5,3,7,3,7,9,1,1,5,7,7,7,1
RESP-ABCD-0048,Female,22,University,1,1,1,1,9,5,3,9,1,1,9,1,9,7,3,5,3,1,3,5,3,9,1,7,7
RESP-ABCD-0049,Female,36,University,3,3,5,5,1,1,7,1,3,5,9,5,9,3,9,3,5,1,9,9,5,7,5,1,3
RESP-ABCD-0050,Male,45,University,5,3,7,5,7,7,1,7,5,7,9,7,1,3,1,7,7,1,9,7,7,9,7,5,9
RESP-ABCD-0051,Female,25,University,3,3,7,9,5,9,3,5,3,1,5,7,7,1,3,3,9,1,9,3,9,5,3,3,5
RESP-ABCD-0052,Female,28,University,3,5,1,7,7,1,5,7,3,5,7,1,7,1,9,1,1,1,7,9,3,7,1,7,7
RESP-ABCD-0053,Female,32,University,9,9,5,3,9,1,1,9,9,5,5,5,9,1,3,5,5,1,5,7,3,5,9,9,7
RESP-ABCD-0054,Female,28,High School,9,9,5,7,1,9,3,3,9,1,1,5,5,1,7,3,3,3,5,5,7,1,5,9,1
RESP-ABCD-0055,Female,21,University,9,1,5,7,1,5,5,1,9,9,9,7,3,9,7,7,5,7,1,9,1,9,1,5,1
RESP-ABCD-0056,Female,32,High School,5,1,9,5,9,3,1,9,5,5,5,9,5,1,7,7,9,9,7,7,9,5,9,7,7
RESP-ABCD-0057,Male,24,University,9,3,3,7,9,7,1,7,9,9,5,5,3,9,1,3,3,1,9,1,3,5,9,1,3
RESP-ABCD-0058,Male,35,University,1,1,9,1,5,3,3,5,1,1,1,7,9,9,7,7,9,3,9,1,9,1,7,9,5
RESP-ABCD-0059,Unspecified,25,University,7,5,3,5,1,9,9,1,5,9,3,1,3,1,9,9,3,3,3,3,3,5,7,5,1
RESP-ABCD-0060,Male,42,University,1,9,5,1,7,1,1,9,1,3,7,3,7,5,3,9,5,3,3,7,9,7,7,7,3
RESP-ABCD-0061,Male,26,High School,1,3,5,3,3,1,1,3,1,7,3,5,1,7,5,9,5,7,9,1,5,5,1,7,9
RESP-ABCD-0062,Male,29,High School,9,1,9,5,3,7,5,3,7,5,9,9,1,3,9,1,9,9,9,5,3,9,1,7,1
RESP-ABCD-0063,Female,37,University,7,5,9,3,9,1,7,9,9,7,5,7,9,9,9,3,9,7,7,7,9,5,5,7,3
RESP-ABCD-0064,Male,23,University,7,5,3,5,5,1,3,5,7,9,1,1,7,7,7,1,3,5,5,5,1,1,7,7,3
RESP-ABCD-0065,Male,33,High School,7,1,7,9,3,7,3,3,9,5,1,9,5,5,1,7,7,3,3,5,5,1,9,9,5
RESP-ABCD-0066,Female,41,University,5,9,3,7,1,7,9,1,5,9,7,3,7,3,3,1,5,5,5,1,5,7,3,5,5
RESP-ABCD-0067,Male,20,University,9,1,9,9,9,9,9,9,9,3,3,9,1,3,1,7,9,1,7,7,1,1,5,7,9
RESP-ABCD-0068,Female,33,Masters or above,7,3,9,3,7,1,3,7,7,1,7,9,1,9,3,7,9,1,9,9,9,5,1,3,3
RESP-ABCD-0069,Male,33,University,5,1,1,7,9,1,9,9,5,5,5,1,7,1,3,5,1,7,5,1,7,3,5,3,3
RESP-ABCD-0070,Female,37,High School,3,5,9,5,7,9,5,7,3,3,7,9,7,5,1,9,9,9,9,1,1,7,5,5,5
RESP-ABCD-0071,Female,23,High School,3,1,1,7,9,5,3,9,3,3,1,1,1,9,9,7,1,5,9,7,9,1,5,1,1
RESP-ABCD-0072,Male,22,University,5,9,7,1,9,5,9,9,5,5,1,7,5,5,3,5,7,9,1,7,1,1,5,1,1
RESP-ABCD-0073,Unspecified,35,University,5,7,3,7,9,5,3,9,5,9,9,3,9,1,1,9,3,7,5,5,1,9,3,1,7
RESP-ABCD-0074,Female,34,University,9,1,3,1,7,9,7,9,9,3,9,3,9,1,3,7,3,1,5,7,3,9,7,3,5
RESP-ABCD-0075,Female,33,University,9,9,1,7,7,1,1,7,9,7,5,1,7,9,5,7,1,9,9,5,9,5,9,1,7
RESP-ABCD-0076,Female,34,University,3,9,3,1,9,9,3,9,3,3,3,3,9,1,9,1,3,9,7,1,7,3,5,9,5
RESP-ABCD-0077,Female,27,University,7,5,9,3,3,9,1,3,7,9,7,9,1,7,7,1,9,1,1,3,3,7,5,7,9
RESP-ABCD-0078,Male,33,University,3,9,5,9,5,5,9,5,3,9,5,5,1,3,3,9,5,5,9,9,1,7,5,3,3
RESP-ABCD-0079,Male,34,University,7,9,1,5,5,3,1,5,7,7,9,1,7,9,5,7,1,1,3,1,1,9,7,5,9
RESP-ABCD-0080,Male,26,University,7,9,3,7,5,1,3,7,7,3,7,3,7,5,7,3,3,9,3,7,1,9,1,5,5
RESP-ABCD-0081,Female,45,University,9,9,1,9,7,5,7,7,9,9,9,1,7,7,7,1,1,5,1,9,9,7,1,7,3
RESP-ABCD-0082,Female,35,High School,1,3,1,5,7,3,9,7,3,5,7,1,5,9,3,9,1,5,7,3,9,7,3,3,1
RESP-ABCD-0083,Male,23,Unspecified,1,3,5,5,3,3,3,3,1,1,3,5,9,1,1,7,5,1,9,3,3,3,1,1,1
RESP-ABCD-0084,Male,36,University,5,5,9,1,5,7,9,3,5,1,5,9,7,1,3,7,9,9,5,5,7,5,5,1,7
RESP-ABCD-0085,Male,25,University,9,1,1,3,5,1,5,5,9,1,7,1,3,1,5,3,1,7,1,9,3,9,5,9,5
RESP-ABCD-0086,Male,37,University,7,9,3,3,9,3,1,9,7,3,1,3,3,1,7,9,3,9,7,5,5,1,5,9,5
RESP-ABCD-0087,Female,40,University,1,1,7,9,7,5,5,9,1,7,1,7,1,5,3,7,7,3,5,1,1,1,3,1,1
RESP-ABCD-0088,Female,26,Masters or above,7,1,1,3,5,7,3,5,7,9,7,1,9,7,1,1,1,7,3,9,1,7,5,5,9
RESP-ABCD-0089,Female,38,Masters or above,1,5,1,7,3,1,7,3,1,5,7,1,7,3,3,3,1,5,3,1,1,7,1,5,3
RESP-ABCD-0090,Male,34,University,1,9,5,3,3,9,9,1,1,5,7,5,3,5,9,9,5,7,5,5,3,7,7,9,9
RESP-ABCD-0091,Male,37,University,1,9,9,9,5,5,1,5,1,3,1,9,9,5,1,3,7,5,1,9,3,1,7,7,9
RESP-ABCD-0092,Female,45,University,9,7,7,3,7,3,9,7,9,1,1,7,1,3,5,1,7,5,3,5,1,1,9,1,1
RESP-ABCD-0093,Female,30,University,3,1,3,7,3,3,3,3,3,3,7,3,5,3,7,9,5,7,9,9,3,7,1,9,1
RESP-ABCD-0094,Female,26,University,7,1,7,1,9,5,9,9,7,7,9,7,9,1,3,3,7,5,5,5,9,9,5,9,1
RESP-ABCD-0095,Female,25,University,9,3,3,9,3,3,1,5,9,7,9,3,9,5,1,5,3,5,5,3,9,9,7,1,7
RESP-ABCD-0096,Male,26,University,9,7,9,1,1,7,3,3,9,9,3,9,5,9,9,1,9,3,3,5,3,3,1,1,9
RESP-ABCD-0097,Female,31,University,9,3,3,1,1,1,9,1,9,9,5,3,9,3,1,1,1,9,1,3,1,7,7,5,5
RESP-ABCD-0098,Male,34,University,9,3,5,1,7,7,7,9,9,7,9,3,1,3,9,1,5,9,9,5,3,9,5,7,3
RESP-ABCD-0099,Unspecified,33,University,9,3,5,5,5,3,3,5,9,7,1,5,1,7,5,5,5,3,1,9,3,1,7,7,7
RESP-ABCD-0100,Male,37,University,5,5,5,5,7,9,3,7,5,7,9,5,5,9,7,5,5,7,7,9,3,9,9,1,5
